Philippines,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.064009888,6.216544794,5.90691837,6.40000064,6.69674346,6.8,6.9,7,7
Myanmar,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",8.427677575,8.699746636,7.030816998,8.072204726,7.696104177,7.750067247,7.622153309,7.651543853,7.659390693
Malaysia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.69372252,6.012690036,4.967674266,4.3,4.6,4.7,4.9,5,5
Lao People's Democratic Republic,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.967987411,7.500573808,7.55931228,7.478469027,7.263841028,7.304080233,7.212946543,7.082066837,7.097085136
Indonesia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.557263689,5.023889052,4.793921304,4.935120756,5.300037236,5.500112732,5.799740428,6.000212453,6.000853183
Cambodia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.427900099,7.071525352,7.036087179,6.991899377,6.911406206,6.794893054,6.757324767,6.519123493,6.285017647
Brunei Darussalam,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",-2.124783186,-2.34864098,-0.55074411,0.376323803,3.947195729,1.712029751,9.064160008,13.02862346,13.17115744
ASEAN,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.05899859,4.60358268,4.764492865,4.833352376,5.108379495,5.209726477,5.392987018,5.528551173,5.543085058
Nepal,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",4.128877676,5.988933368,2.725365459,0.560589013,4.047930821,3.766571915,3.82004543,3.788579051,3.834026556
Sri Lanka,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.395722774,4.878640647,4.785933632,5,5,5,5.2,5.4,5.5
India,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.638755462,7.243509024,7.563387556,7.616677906,7.608115608,7.668814563,7.827526556,7.955524586,8.122209587
Bangladesh,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.03803736,6.314085213,6.811657422,6.923036251,6.903288201,7,7,6.741545894,6.5
South Asia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",6.207929528,6.809899054,7.081902014,7.197007056,7.247304067,7.329195959,7.499186988,7.597139806,7.729264327
Taiwan Province of China,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.202440392,3.924934953,0.647897743,0.972080981,1.664803851,1.934578815,2.249272252,2.544222024,2.743406726
"Korea, Republic of","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.896220054,3.341447519,2.611935409,2.720195585,3.038068414,3.059220538,3.007748199,2.998755143,2.982417041
"China, P.R.: Hong Kong","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",3.08804821,2.68193502,2.436791891,1.438521079,1.853713697,2.807975425,3.220050234,3.082651701,2.937601896
"China, P.R.: Mainland","National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",7.8,7.3,6.9,6.588139633,6.170586143,6.03,6,5.9,5.8
New Zealand,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.680001557,3.021615102,2.998963952,2.76584073,2.706633215,2.592582276,2.494073845,2.539299322,2.566014115
Japan,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",1.356736022,-0.027780887,0.539349864,0.509566308,0.562637306,0.453037588,0.675805708,0.117260042,0.61279328
Australia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",2.005601553,2.687196637,2.443814096,2.869979044,2.665295075,2.892838378,2.989949257,2.944193034,2.827654025
Asia,"National Accounts, Gross Domestic Product, Real, Constant Prices, Percent Change",5.797520502,5.580187607,5.433416152,5.400475262,5.346727493,5.367463885,5.486507948,5.485341197,5.551937928
